Lousy excuse for a tape deck,Visibly damaged (no returns),Expensive,
Lousy excuse for a tape deck,Visibly damaged (no returns),Expensive,
Lousy excuse for a tape deck,Visibly damaged (no returns),Expensive,
Lousy excuse for a tape deck,Visibly damaged (no returns),Expensive,
Lousy excuse for a tape deck,Visibly damaged (no returns),Expensive,
World's worst VCR,Returned as defective,Absurdly expensive,
World's worst VCR,Returned as defective,Absurdly expensive,
World's worst VCR,Returned as defective,Absurdly expensive,
World's worst VCR,Returned as defective,Absurdly expensive,
World's worst VCR,Returned as defective,Absurdly expensive,
Self-destruct VGA monitor w/ critical need detect,Visibly damaged (no returns),Outrageously expensive,
Self-destruct VGA monitor w/ critical need detect,Visibly damaged (no returns),Outrageously expensive,
Self-destruct VGA monitor w/ critical need detect,Visibly damaged (no returns),Outrageously expensive,
Self-destruct VGA monitor w/ critical need detect,Visibly damaged (no returns),Outrageously expensive,
Self-destruct VGA monitor w/ critical need detect,Visibly damaged (no returns),Outrageously expensive,
Self-destruct VGA monitor w/ critical need detect,Slightly used,Robbery a complete and total rip-off,
Self-destruct VGA monitor w/ critical need detect,Slightly used,Robbery a complete and total rip-off,
Self-destruct VGA monitor w/ critical need detect,Slightly used,Robbery a complete and total rip-off,
Self-destruct VGA monitor w/ critical need detect,Slightly used,Robbery a complete and total rip-off,
Self-destruct VGA monitor w/ critical need detect,Slightly used,Robbery a complete and total rip-off,
